IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.182.10,2086,2086,false,SIN,Asia Pacific,Singapore,271,0.09
8.219.200.145,8880,8880,false,SIN,Asia Pacific,Singapore,324,0.09
47.236.114.167,2086,2086,false,SIN,Asia Pacific,Singapore,317,0.09
47.236.145.85,80,80,false,SIN,Asia Pacific,Singapore,312,0.09
8.222.221.197,8080,8080,false,SIN,Asia Pacific,Singapore,271,0.08
47.236.7.246,2082,2082,false,SIN,Asia Pacific,Singapore,324,0.08
8.219.161.129,2086,2086,false,SIN,Asia Pacific,Singapore,308,0.08
8.222.140.185,8880,8880,false,SIN,Asia Pacific,Singapore,275,0.08
47.236.97.254,2052,2052,false,SIN,Asia Pacific,Singapore,329,0.08
8.222.238.141,2052,2052,false,SIN,Asia Pacific,Singapore,278,0.08
8.222.150.197,8080,8080,false,SIN,Asia Pacific,Singapore,270,0.08
47.236.7.13,8080,8080,false,SIN,Asia Pacific,Singapore,322,0.08
47.236.87.246,2082,2082,false,SIN,Asia Pacific,Singapore,316,0.08
8.219.112.75,2052,2052,false,SIN,Asia Pacific,Singapore,273,0.08
8.222.168.24,2086,2086,false,SIN,Asia Pacific,Singapore,282,0.08
8.222.214.231,2082,2082,false,SIN,Asia Pacific,Singapore,282,0.08
47.236.7.246,2053,2053,true,SIN,Asia Pacific,Singapore,325,0.08
47.236.150.109,2082,2082,false,SIN,Asia Pacific,Singapore,311,0.08
47.236.116.182,2052,2052,false,SIN,Asia Pacific,Singapore,322,0.08
47.236.116.26,2095,2095,false,SIN,Asia Pacific,Singapore,336,0.08
8.222.221.90,2082,2082,false,SIN,Asia Pacific,Singapore,285,0.07
47.236.65.177,8080,8080,false,SIN,Asia Pacific,Singapore,327,0.07
8.222.221.197,2053,2053,true,SIN,Asia Pacific,Singapore,283,0.07
8.219.193.202,2052,2052,false,SIN,Asia Pacific,Singapore,331,0.07
8.222.155.242,8080,8080,false,SIN,Asia Pacific,Singapore,277,0.07
8.222.154.50,2086,2086,false,SIN,Asia Pacific,Singapore,271,0.07
8.222.175.78,2083,2083,true,SIN,Asia Pacific,Singapore,285,0.07
47.236.144.196,2082,2082,false,SIN,Asia Pacific,Singapore,320,0.07
